tau_s,decay_kind,n_aristas,n_comunidades,n_alertas,factor_reduccion,n_ok,n_escenarios,veredicto_4_4,shared_comms,INC-S06_recall,INC-S06_purity,INC-S06_main_comm,INC-S06_n_filas,INC-S07_recall,INC-S07_purity,INC-S07_main_comm,INC-S07_n_filas,INC-S08_recall,INC-S08_purity,INC-S08_main_comm,INC-S08_n_filas,INC-S09_recall,INC-S09_purity,INC-S09_main_comm,INC-S09_n_filas
,none,21485,138,5782,41.90,4,4,SI,,0.600,1.000,126,20,1.000,0.769,137,10,1.000,1.000,135,19,0.800,1.000,136,15
5.0,exponential,21483,289,5782,20.01,4,4,SI,,0.400,1.000,266,20,0.700,1.000,280,10,0.579,1.000,286,19,0.800,1.000,287,15
10.0,exponential,21485,242,5782,23.89,4,4,SI,,0.600,1.000,223,20,1.000,1.000,235,10,0.579,1.000,239,19,0.800,1.000,240,15
30.0,exponential,21485,179,5782,32.30,4,4,SI,,0.600,1.000,168,20,1.000,1.000,175,10,1.000,1.000,176,19,0.800,1.000,177,15
60.0,exponential,21485,157,5782,36.83,4,4,SI,,0.600,1.000,148,20,1.000,1.000,153,10,1.000,1.000,154,19,0.800,1.000,155,15
120.0,exponential,21485,143,5782,40.43,4,4,SI,,0.600,1.000,131,20,1.000,0.769,140,10,1.000,1.000,141,19,0.800,1.000,142,15
300.0,exponential,21485,139,5782,41.60,4,4,SI,,0.600,1.000,127,20,1.000,0.769,136,10,1.000,1.000,137,19,0.800,1.000,138,15
600.0,exponential,21485,137,5782,42.20,4,4,SI,,0.600,1.000,125,20,1.000,0.769,134,10,1.000,1.000,135,19,0.800,1.000,136,15
900.0,exponential,21485,137,5782,42.20,4,4,SI,,0.600,1.000,126,20,1.000,0.769,136,10,1.000,1.000,134,19,0.800,1.000,135,15
1800.0,exponential,21485,138,5782,41.90,4,4,SI,,0.600,1.000,126,20,1.000,0.769,137,10,1.000,1.000,135,19,0.800,1.000,136,15
3600.0,exponential,21485,138,5782,41.90,4,4,SI,,0.600,1.000,126,20,1.000,0.769,137,10,1.000,1.000,135,19,0.800,1.000,136,15
7200.0,exponential,21485,138,5782,41.90,4,4,SI,,0.600,1.000,126,20,1.000,0.769,137,10,1.000,1.000,135,19,0.800,1.000,136,15
86400.0,exponential,21485,138,5782,41.90,4,4,SI,,0.600,1.000,126,20,1.000,0.769,137,10,1.000,1.000,135,19,0.800,1.000,136,15
